ph,r,p,m,Pov_2012,SE_2012,CoV_2012,Pov_2009,SE_2009,CoV_2009,Pov_2006,SE_2006,CoV_2006
PH153831000,ARMM,Maguindanao,Datu Anggal Midtimbang,74.79,8.61,11.51,57.0,8.0,14.0,52.5,11.4,21.8
PH153832000,ARMM,Maguindanao,Mangudadatu,64.71,10.14,15.67,56.9,7.0,12.4,62.6,13.4,21.4
PH153833000,ARMM,Maguindanao,Pandag,70.22,10.46,14.90,66.8,7.7,11.5,61.6,11.1,17.9
PH153834000,ARMM,Maguindanao,Northern Kabuntalan,63.95,9.58,14.98,41.2,6.1,14.8,47.4,7.8,16.3
PH153835000,ARMM,Maguindanao,Datu Hoffer Ampatuan,69,9.47,13.72,49.1,8.1,16.4,-,-,-
PH153836000,ARMM,Maguindanao,Datu Salibo,74.17,8.86,11.95,52.5,6.0,11.4,-,-,-
PH153837000,ARMM,Maguindanao,Shariff Saydona Mustapha,66.01,8.15,12.35,51.2,7.8,15.2,-,-,-
PH156601000,ARMM,Sulu,Indanan,64.71,8.64,13.35,42.7,5.4,12.8,54.2,6.7,12.3
PH156602000,ARMM,Sulu,Jolo,48.37,4.79,9.90,46.1,7.8,17.0,43.3,12.2,28.1
PH156603000,ARMM,Sulu,Kalingalan Caluang,42.6,11.06,25.96,48.3,7.5,15.6,65.0,10.9,16.8
PH156604000,ARMM,Sulu,Luuk,46.34,8.62,18.60,47.9,6.9,14.5,70.2,8.0,11.4
PH156605000,ARMM,Sulu,Maimbung,56,8.31,14.84,51.9,5.6,10.8,57.2,9.5,16.5
PH156606000,ARMM,Sulu,Hadji Panglima Tahil (Marunggas),49.63,6.1,12.29,53.2,10.5,19.7,60.9,14.8,24.4
PH156607000,ARMM,Sulu,Old Panamao,48.31,7.37,15.26,55.9,7.0,12.5,55.3,9.4,17.0
PH156608000,ARMM,Sulu,Pangutaran,51.85,10.86,20.95,49.3,5.9,12.0,50.9,10.1,19.9
PH156609000,ARMM,Sulu,Parang,48.44,5.65,11.66,53.2,5.1,9.5,54.7,7.4,13.5
PH156610000,ARMM,Sulu,Pata,52.13,7.02,13.47,52.6,7.4,14.1,52.8,10.2,19.4
PH156611000,ARMM,Sulu,Patikul,48,5.48,11.42,37.0,5.3,14.3,44.6,8.2,18.4
PH156612000,ARMM,Sulu,Siasi,55.79,6.59,11.81,46.1,4.6,9.9,59.7,8.9,14.9
PH156613000,ARMM,Sulu,Talipao,42.89,6.01,14.01,59.8,5.1,8.5,51.2,6.9,13.4
PH156614000,ARMM,Sulu,Tapul,43.59,4.75,10.90,52.4,5.9,11.4,57.7,9.7,16.9
PH156615000,ARMM,Sulu,Tongkil,43.98,6,13.64,51.2,6.4,12.5,69.8,8.5,12.2
PH156616000,ARMM,Sulu,Panglima Estino (New Panamao),44.32,6.32,14.26,68.7,8.0,11.6,51.9,9.4,18.1
PH156617000,ARMM,Sulu,Lugus,67.21,8.13,12.10,50.1,6.4,12.7,54.4,10.7,19.7
PH156618000,ARMM,Sulu,Pandami,41.96,5.63,13.42,49.2,6.3,12.7,57.0,9.7,17.1
PH156619000,ARMM,Sulu,Omar,48.81,6.25,12.80,50.8,9.9,19.4,-,-,-
PH157001000,ARMM,Tawi-tawi,Panglima Sugala (Balimbing),53.98,9.36,17.34,44.9,6.6,14.6,52.8,9.5,18.0
PH157002000,ARMM,Tawi-tawi,Bongao,41.7,6.7,16.07,27.7,4.1,15.0,39.4,6.2,15.8
PH157003000,ARMM,Tawi-tawi,Mapun (Cagayan De Tawi-Tawi),30.57,4.49,14.69,35.2,5.7,16.2,46.2,8.1,17.5
PH157004000,ARMM,Tawi-tawi,Simunul,42.46,6.88,16.20,30.4,5.7,18.6,32.4,8.2,25.3
PH157005000,ARMM,Tawi-tawi,Sitangkai,23.79,5.14,21.61,31.7,7.5,23.8,36.6,9.1,24.8
PH157006000,ARMM,Tawi-tawi,South Ubian,27.94,6.19,22.15,36.4,4.7,12.8,43.7,7.8,17.8
