ph,r,p,m,Pov_2012,SE_2012,CoV_2012,Pov_2009,SE_2009,CoV_2009,Pov_2006,SE_2006,CoV_2006
PH021502000,Region II,Cagayan,Alcala,18.88,2.26,11.97,21.8,2.3,10.4,22.3,2.2,9.7
PH021503000,Region II,Cagayan,Allacapan,18.03,1.89,10.48,21.2,2.6,12.4,23.8,3.9,16.1
PH021504000,Region II,Cagayan,Amulung,25.19,2.58,10.24,27.9,2.1,7.5,36.7,4.2,11.5
PH021505000,Region II,Cagayan,Aparri,21.85,2.01,9.20,15.4,1.7,11.2,17.1,2.9,17.1
PH021506000,Region II,Cagayan,Baggao,21.96,2.26,10.29,22.6,1.9,8.6,30.0,2.5,8.3
PH021507000,Region II,Cagayan,Ballesteros,17.91,2.47,13.79,22.7,2.5,11.1,16.7,2.6,15.8
PH021508000,Region II,Cagayan,Buguey,18.59,1.97,10.60,22.4,2.3,10.2,20.8,2.6,12.4
PH021509000,Region II,Cagayan,Calayan,47.37,5.16,10.89,27.7,4.1,14.9,24.2,4.8,19.7
PH021510000,Region II,Cagayan,Camalaniugan,17.06,1.73,10.14,16.9,1.9,11.5,19.5,2.7,13.9
PH021511000,Region II,Cagayan,Claveria,14.58,1.73,11.87,15.1,1.8,12.1,10.8,2.1,19.3
PH021512000,Region II,Cagayan,Enrile,19.69,2.1,10.67,19.8,2.3,11.5,24.8,3.4,13.8
PH021513000,Region II,Cagayan,Gattaran,16.71,1.87,11.19,19.2,1.9,9.9,24.6,2.3,9.5
PH021514000,Region II,Cagayan,Gonzaga,13.37,1.65,12.34,16.6,2.4,14.5,19.9,3.0,15.2
PH021515000,Region II,Cagayan,Iguig,14.28,1.94,13.59,19.5,2.3,11.7,22.3,3.7,16.4
PH021516000,Region II,Cagayan,Lal-lo,15.54,1.96,12.61,16.7,2.2,13.1,15.3,2.5,16.1
PH021517000,Region II,Cagayan,Lasam,13.63,1.61,11.81,18.2,2.2,11.8,18.5,2.2,12.1
PH021518000,Region II,Cagayan,Pamplona,26.71,2.76,10.33,20.7,2.6,12.4,19.7,3.5,17.9
PH021519000,Region II,Cagayan,Penablanca,20.06,1.82,9.07,18.2,2.4,13.0,24.5,4.0,16.1
PH021520000,Region II,Cagayan,Piat,15.59,2.28,14.62,22.5,2.8,12.5,29.3,4.0,13.7
PH021521000,Region II,Cagayan,Rizal,18.79,2.06,10.96,26.1,2.8,10.9,28.1,3.3,11.8
PH021522000,Region II,Cagayan,Sanchez-Mira,17.23,2.01,11.67,13.4,2.2,16.6,12.8,2.3,18.0
PH021523000,Region II,Cagayan,Santa Ana,20.62,2.53,12.27,16.3,2.7,16.2,14.7,3.7,25.4
PH021524000,Region II,Cagayan,Santa Praxedes,17.48,3.41,19.51,17.2,3.7,21.4,12.2,3.6,29.8
PH021525000,Region II,Cagayan,Santa Teresita,16.15,1.98,12.26,18.6,3.1,16.5,18.6,3.0,16.3
PH021526000,Region II,Cagayan,Santo Nino,22.08,2.49,11.28,26.3,3.0,11.2,28.0,3.4,12.1
PH021527000,Region II,Cagayan,Solana,22.72,1.94,8.54,22.5,2.0,8.8,32.8,3.8,11.5
PH021528000,Region II,Cagayan,Tuao,17.93,2.07,11.54,22.7,2.3,10.2,32.3,4.0,12.4
PH021529000,Region II,Cagayan,Tuguegarao City,9.26,1.09,11.77,8.5,1.1,12.9,7.7,2.1,27.0
PH023101000,Region II,Isabela,Alicia,15.19,2.01,13.23,17.2,2.0,11.8,18.3,2.0,11.1
PH023102000,Region II,Isabela,Angadanan,17.56,1.58,9.00,18.9,1.8,9.4,26.9,3.0,11.1
PH023103000,Region II,Isabela,Aurora,13.08,1.83,13.99,16.4,1.9,11.9,15.9,2.3,14.2
PH023104000,Region II,Isabela,Benito Soliven,23.61,2.2,9.32,25.4,2.9,11.3,32.0,5.0,15.5
PH023105000,Region II,Isabela,Burgos,14.01,2.54,18.13,18.2,3.3,18.1,19.1,3.0,15.7
PH023106000,Region II,Isabela,Cabagan,19.31,2.34,12.12,16.6,1.8,11.0,22.9,3.1,13.6
PH023107000,Region II,Isabela,Cabatuan,14.15,2.12,14.98,12.7,2.1,16.8,13.7,2.1,15.5
PH023108000,Region II,Isabela,Cauayan City,17.3,1.63,9.42,15.9,1.5,9.6,16.8,1.9,11.4
PH023109000,Region II,Isabela,Cordon,18.59,2.12,11.40,16.3,2.0,12.4,20.4,2.6,12.5
PH023110000,Region II,Isabela,Dinapigue,25.81,5.08,19.68,13.8,4.9,35.3,13.6,5.3,39.2
PH023111000,Region II,Isabela,Divilican,45.72,5.65,12.36,23.6,4.1,17.4,25.3,6.8,26.7
PH023112000,Region II,Isabela,Echague,17.48,1.31,7.49,15.2,1.4,9.2,20.4,1.9,9.1
PH023113000,Region II,Isabela,Gamu,16.19,2.18,13.47,14.8,2.6,17.7,14.8,2.7,18.1
PH023114000,Region II,Isabela,Ilagan,17.86,1.38,7.73,15.3,1.3,8.3,21.6,2.2,10.1
PH023115000,Region II,Isabela,Jones,12.57,1.8,14.32,15.5,2.1,13.7,20.5,2.8,13.9
PH023116000,Region II,Isabela,Luna,10.41,2.26,21.71,13.8,2.2,16.2,16.1,2.4,15.2
PH023117000,Region II,Isabela,Maconacon,29.26,4.48,15.31,9.9,2.4,24.3,10.1,2.9,29.0
PH023118000,Region II,Isabela,Delfin Albano,16.32,1.94,11.89,19.9,2.2,11.2,19.1,2.3,12.0
PH023119000,Region II,Isabela,Mallig,18.65,2.26,12.12,23.8,2.7,11.4,23.6,3.1,13.1
PH023120000,Region II,Isabela,Naguilian,19.24,1.91,9.93,18.7,2.0,10.5,22.9,2.7,11.6
PH023121000,Region II,Isabela,Palanan,48.6,5.08,10.45,19.8,2.9,14.9,21.3,4.2,19.6
PH023122000,Region II,Isabela,Quezon,24.2,2.88,11.90,23.8,3.4,14.2,21.4,3.0,13.9
PH023123000,Region II,Isabela,Quirino,15.89,2.13,13.40,20.4,2.2,10.8,24.8,3.7,14.8
PH023124000,Region II,Isabela,Ramon,18.07,2.1,11.62,16.3,2.1,13.1,15.7,2.7,17.3
PH023125000,Region II,Isabela,Reina Mercedes,16.24,2.14,13.18,14.0,2.5,17.9,23.5,3.6,15.3
PH023126000,Region II,Isabela,Roxas,15.62,1.87,11.97,15.8,2.1,13.2,16.1,2.3,14.3
PH023127000,Region II,Isabela,San Agustin,14.62,2.12,14.50,11.8,2.0,17.1,19.6,2.7,13.7
PH023128000,Region II,Isabela,San Guillermo,27.61,3.3,11.95,21.6,2.5,11.6,36.1,6.6,18.2
PH023129000,Region II,Isabela,San Isidro,14.63,2.02,13.81,17.3,2.7,15.6,18.5,2.9,15.6
PH023130000,Region II,Isabela,San Manuel,16.15,2.03,12.57,20.5,2.4,11.9,22.7,2.9,12.9
PH023131000,Region II,Isabela,San Mariano,30.61,2.17,7.09,24.2,2.0,8.3,29.8,4.5,15.0
PH023132000,Region II,Isabela,San Mateo,12.72,1.82,14.31,14.6,2.1,14.2,14.3,2.0,13.9
PH023133000,Region II,Isabela,San Pablo,24.38,3.28,13.45,19.7,3.3,16.7,24.9,3.7,14.8
PH023134000,Region II,Isabela,Santa Maria,31.31,3.24,10.35,24.4,2.9,11.8,28.3,4.1,14.4
PH023135000,Region II,Isabela,Santiago City,14.98,1.7,11.35,10.8,1.6,14.3,9.8,2.2,22.1
PH023136000,Region II,Isabela,Santo Tomas,23.38,2.34,10.01,18.5,2.4,12.9,23.5,3.4,14.5
PH023137000,Region II,Isabela,Tumaini,20.34,1.73,8.51,19.8,1.8,9.0,23.8,2.5,10.6
PH025001000,Region II,Nueva Vizcaya,Ambaguio,38.89,5.48,14.09,15.5,3.9,25.1,17.8,4.5,25.3
PH025002000,Region II,Nueva Vizcaya,Aritao,11.92,2,16.78,16.2,2.1,13.1,12.7,2.4,19.0
PH025003000,Region II,Nueva Vizcaya,Bagabag,9.81,2.01,20.49,13.4,2.2,16.2,12.9,2.2,16.8
PH025004000,Region II,Nueva Vizcaya,Bambang,10.34,1.46,14.12,11.3,1.5,13.6,10.8,1.7,15.8
PH025005000,Region II,Nueva Vizcaya,Bayombong,8.73,1.29,14.78,8.6,1.4,16.7,7.1,1.6,22.9
PH025006000,Region II,Nueva Vizcaya,Diadi,16.52,2.25,13.62,17.6,2.1,12.1,18.8,2.8,14.8
PH025007000,Region II,Nueva Vizcaya,Dupax del Norte,14.55,1.93,13.26,11.4,2.5,21.6,16.5,3.0,18.2
PH025008000,Region II,Nueva Vizcaya,Dupax del Sur,17.02,2.13,12.51,15.4,2.5,16.4,15.0,3.1,20.5
PH025009000,Region II,Nueva Vizcaya,Kasibu,22.75,2.77,12.18,13.6,2.1,15.5,15.8,2.9,18.4
PH025010000,Region II,Nueva Vizcaya,Kayapa,32.92,3.6,10.94,16.1,2.4,14.9,15.8,3.1,19.5
PH025011000,Region II,Nueva Vizcaya,Quezon,21.03,3.13,14.88,16.6,3.3,19.6,18.5,3.3,17.9
PH025012000,Region II,Nueva Vizcaya,Santa Fe,23.65,3.18,13.45,11.4,2.6,23.1,15.2,5.1,33.4
PH025013000,Region II,Nueva Vizcaya,Solano,9.49,1.58,16.65,10.1,1.7,17.3,6.9,1.4,20.8
PH025014000,Region II,Nueva Vizcaya,Villaverde,9.59,2.14,22.31,11.1,2.7,24.4,12.3,3.1,25.1
PH025015000,Region II,Nueva Vizcaya,Alfonso Castaneda,33.46,6.4,19.13,14.0,4.6,33.1,14.1,3.9,27.4
PH025701000,Region II,Quirino,Aglipay,18.18,2.21,12.16,16.3,2.4,14.8,22.0,3.1,14.3
PH025702000,Region II,Quirino,Cobarronguis,15.19,2.27,14.94,11.8,2.3,19.5,12.1,2.5,21.0
PH025703000,Region II,Quirino,Diffun,15.76,1.74,11.04,17.5,1.9,10.6,23.0,2.9,12.6
PH025704000,Region II,Quirino,Madella,13.74,1.76,12.81,14.4,2.0,13.9,17.5,2.7,15.4
PH025705000,Region II,Quirino,Saguday,12.62,2.78,22.03,18.8,3.3,17.5,20.1,3.4,16.8
PH025706000,Region II,Quirino,Nagtipunan,26.2,3.52,13.44,15.4,3.1,20.1,23.4,5.3,22.6
PH030801000,Region III,Bataan,Abucay,3.96,1.02,25.76,7.0,2.1,29.5,8.7,2.2,24.9
PH030802000,Region III,Bataan,Bagac,9.37,1.26,13.45,19.7,3.3,16.8,15.7,3.3,21.0
PH030803000,Region III,Bataan,City of Balanga,4.33,0.79,18.24,5.9,1.2,21.1,7.8,1.7,21.4
PH030804000,Region III,Bataan,Dinalupihan,5.73,0.81,14.14,11.7,1.9,16.2,12.6,2.1,16.5
PH030805000,Region III,Bataan,Hermosa,10.7,1.17,10.93,12.6,2.0,16.0,13.5,2.5,18.1
PH030806000,Region III,Bataan,Limay,5.78,1.12,19.38,7.4,2.4,32.5,6.6,2.3,34.5
PH030807000,Region III,Bataan,Mariveles,2.57,0.56,21.79,7.2,1.8,24.7,12.1,2.2,18.3
PH030808000,Region III,Bataan,Morong,12.67,2.25,17.76,20.8,4.8,22.9,16.1,4.5,28.0
PH030809000,Region III,Bataan,Orani,7.38,1.06,14.36,10.4,1.8,17.6,11.3,1.8,16.0
PH030810000,Region III,Bataan,Orion,9.84,1.24,12.60,9.5,1.8,19.0,9.5,1.9,19.9
PH030811000,Region III,Bataan,Pilar,7.66,1.2,15.67,8.9,2.0,23.0,7.2,1.7,23.5
PH030812000,Region III,Bataan,Samal,4.58,0.75,16.38,12.0,2.2,18.0,15.3,3.2,21.2
PH031401000,Region III,Bulacan,Angat,7.16,1.23,17.18,7.8,1.9,24.9,11.4,2.3,19.9
PH031402000,Region III,Bulacan,Balagtas,4.18,1.23,29.43,5.5,1.9,33.9,4.7,1.8,38.3
PH031403000,Region III,Bulacan,Baliuag,5.36,0.82,15.30,5.7,1.3,22.6,4.3,1.3,29.1
PH031404000,Region III,Bulacan,Bocaue,4.21,0.97,23.04,3.4,1.4,40.6,4.0,1.6,38.5
